,Company,PriceRs.,Day HighRs.
0,"
Marksans Pharma
",123.85,128.65
1,"
Power Finance Corp
",277.30,280.50
2,"
Central Dep. Service
",1692.75,1700.00
3,"
REC
",318.00,321.65
4,"
JP Power Ventures
",14.40,15.00
5,"
Coal India
",323.55,324.50
6,"
Welspun Corp
",479.80,496.45
7,"
Indusind Bank
",1507.35,1516.30
8,"
Lupin
",1204.55,1238.45
9,"
Godrej Properties
",1815.25,1837.70
10,"
DLF
",600.70,605.60
11,"
Sobha
",829.25,854.00
12,"
Power Grid Corp
",209.80,210.50
13,"
Prestige EstatesProj
",868.45,878.00
14,"
Kalyan Jewell.India
",336.10,359.15
15,"
Marksans Pharma
",123.85,128.65
